REGION_CLASS	REGION_MEMBER	USED_MEMBER	USED_CLASS	SOURCE_TYPE
util.linalg.RectangularMatrix	RectangularMatrix(int,int)	data	util.linalg.RectangularMatrix	SOURCE
util.linalg.RectangularMatrix	RectangularMatrix(Array[])	data	util.linalg.RectangularMatrix	SOURCE
util.linalg.RectangularMatrix	RectangularMatrix(Array[])	this	util.linalg.RectangularMatrix	SOURCE
util.linalg.RectangularMatrix	RectangularMatrix(util.linalg.Matrix)	data	util.linalg.RectangularMatrix	SOURCE
util.linalg.RectangularMatrix	RectangularMatrix(util.linalg.Matrix)	length	Array	SOURCE
util.linalg.RectangularMatrix	RectangularMatrix(util.linalg.Matrix)	data	util.linalg.RectangularMatrix	SOURCE
util.linalg.RectangularMatrix	RectangularMatrix(util.linalg.Matrix)	length	Array	SOURCE
util.linalg.RectangularMatrix	RectangularMatrix(util.linalg.Matrix)	data	util.linalg.RectangularMatrix	SOURCE
util.linalg.RectangularMatrix	RectangularMatrix(util.linalg.Matrix)	data	util.linalg.RectangularMatrix	SOURCE
util.linalg.RectangularMatrix	m()	length	Array	SOURCE
util.linalg.RectangularMatrix	m()	data	util.linalg.RectangularMatrix	SOURCE
util.linalg.RectangularMatrix	n()	length	Array	SOURCE
util.linalg.RectangularMatrix	n()	data	util.linalg.RectangularMatrix	SOURCE
util.linalg.RectangularMatrix	get(int,int)	data	util.linalg.RectangularMatrix	SOURCE
util.linalg.RectangularMatrix	set(int,int,double)	data	util.linalg.RectangularMatrix	SOURCE
util.linalg.RectangularMatrix	getData()	data	util.linalg.RectangularMatrix	SOURCE
util.linalg.RectangularMatrix	diag(util.linalg.Matrix[])	length	Array	SOURCE
util.linalg.RectangularMatrix	diag(util.linalg.Matrix[])	length	Array	SOURCE
util.linalg.RectangularMatrix	ones(int,int)	length	Array	SOURCE
util.linalg.RectangularMatrix	ones(int,int)	length	Array	SOURCE
util.linalg.RectangularMatrix	random(int,int)	length	Array	SOURCE
util.linalg.RectangularMatrix	random(int,int)	length	Array	SOURCE
util.linalg.RectangularMatrix	random(int,int)	random	dist.Distribution	SOURCE
util.linalg.RectangularMatrix	columns(util.linalg.Vector[])	length	Array	SOURCE
util.linalg.RectangularMatrix	columns(util.linalg.Vector[])	length	Array	SOURCE
util.linalg.RectangularMatrix	rows(util.linalg.Vector[])	length	Array	SOURCE
util.linalg.RectangularMatrix	rows(util.linalg.Vector[])	length	Array	SOURCE
util.linalg.Matrix	get(int,int,int,int)	length	Array	SOURCE
util.linalg.Matrix	get(int,int,int,int)	length	Array	SOURCE
util.linalg.Matrix	transpose()	length	Array	SOURCE
util.linalg.Matrix	transpose()	length	Array	SOURCE
util.linalg.Matrix	getColumn(int)	length	Array	SOURCE
util.linalg.Matrix	getRow(int)	length	Array	SOURCE
util.linalg.Matrix	times(util.linalg.Matrix)	length	Array	SOURCE
util.linalg.Matrix	times(util.linalg.Matrix)	length	Array	SOURCE
util.linalg.Matrix	times(util.linalg.Vector)	length	Array	SOURCE
util.linalg.Matrix	plus(util.linalg.Matrix)	length	Array	SOURCE
util.linalg.Matrix	plus(util.linalg.Matrix)	length	Array	SOURCE
util.linalg.Matrix	minus(util.linalg.Matrix)	length	Array	SOURCE
util.linalg.Matrix	minus(util.linalg.Matrix)	length	Array	SOURCE
util.linalg.Matrix	copy()	length	Array	SOURCE
util.linalg.Matrix	copy()	length	Array	SOURCE
util.linalg.Vector	get(int,int)	length	Array	SOURCE
util.linalg.Vector	remove(int)	length	Array	SOURCE
util.linalg.Vector	max(util.linalg.Vector)	length	Array	SOURCE
util.linalg.Vector	min(util.linalg.Vector)	length	Array	SOURCE
util.linalg.Vector	outerProduct(util.linalg.Vector)	length	Array	SOURCE
util.linalg.Vector	outerProduct(util.linalg.Vector)	length	Array	SOURCE
util.linalg.Vector	normSquared()	this	util.linalg.Vector	SOURCE
util.linalg.Vector	normSquared()	this	util.linalg.Vector	SOURCE
util.linalg.Vector	copy()	length	Array	SOURCE
util.linalg.SingularValueDecomposition	SingularValueDecomposition(util.linalg.Matrix)	v	util.linalg.SingularValueDecomposition	SOURCE
util.linalg.SingularValueDecomposition	SingularValueDecomposition(util.linalg.Matrix)	u	util.linalg.SingularValueDecomposition	SOURCE
util.linalg.SingularValueDecomposition	decompose(util.linalg.RectangularMatrix)	ERROR	util.linalg.SingularValueDecomposition	SOURCE
util.linalg.SingularValueDecomposition	decompose(util.linalg.RectangularMatrix)	ERROR	util.linalg.SingularValueDecomposition	SOURCE
util.linalg.SingularValueDecomposition	decompose(util.linalg.RectangularMatrix)	v	util.linalg.SingularValueDecomposition	SOURCE
util.linalg.SingularValueDecomposition	decompose(util.linalg.RectangularMatrix)	v	util.linalg.SingularValueDecomposition	SOURCE
util.linalg.SingularValueDecomposition	decompose(util.linalg.RectangularMatrix)	v	util.linalg.SingularValueDecomposition	SOURCE
util.linalg.SingularValueDecomposition	decompose(util.linalg.RectangularMatrix)	v	util.linalg.SingularValueDecomposition	SOURCE
util.linalg.SingularValueDecomposition	decompose(util.linalg.RectangularMatrix)	v	util.linalg.SingularValueDecomposition	SOURCE
util.linalg.SingularValueDecomposition	decompose(util.linalg.RectangularMatrix)	v	util.linalg.SingularValueDecomposition	SOURCE
